@,dd/mm/yy,hh:min:sec,V1(V),V2(V),V3(V),V12(V),V23(V),V31(V),FRQ1(Hz),FRQ2(Hz),FRQ3(Hz),I1(A),I2(A),I3(A),Isum(A),In(A),ILeak(A),P1(Kw),P2(Kw),P3(Kw),PT(Kw),Q1(Kvar),Q2(Kvar),Q3(Kvar),QT(Kvar),S1(Kva),S2(Kva),S3(Kva),ST(Kva),PF1,PF2,PF3,PFT,Angle1(Degree),Angle2(Degree),Angle3(Degree),%ILoad,%PLoad,EA1 Import (Kwh),EA2 Import (Kwh),EA3 Import(Kwh),EAT Import(Kwh),EA1 Export(Kwh),EA2 Export(Kwh),EA3 Export(Kwh),EAT Export(Kwh),EA1 Net(Kwh),EA2 Net(Kwh),EA3 Net(Kwh),EAT Net(Kwh),ER1 Ind(Kvarh),ER2 Ind(Kvarh),ER3 Ind(Kvarh),ERT Ind(Kvarh),ER1 Cap(Kvarh),ER2 Cap(Kvarh),ER3 Cap(Kvarh),ERT Cap(Kvarh),ER1 Net(Kvarh),ER2 Net(Kvarh),ER3 Net(Kvarh),ERT Net(Kvarh),EVA1 (Kvah),EVA2 (Kvah),EVA3 (Kvah),EVAT (Kvah),EON month(Kwh),EOFF month(Kwh),EHOL month(Kwh),EMonth(Kwh)
@,04/05/18,00:00:00,227.3,227.6,227.6,393.9,394.1,393.9,49.94,49.94,49.94,1.278,1.025,1.201,0.000,0.000,0.000,0.173,0.000,0.111,0.285,0.000,0.000,0.000,0.000,0.289,0.235,0.272,0.796,-0.591,1.000,-0.405,0.358,3.2,20.2,349.7,1.2,0.3,49.833,48.611,49.384,147.828,-0.126,0.000,-0.009,-0.135,49.707,48.611,49.375,147.693,37.505,39.071,36.652,113.228,-0.016,0.000,-0.445,-0.461,37.521,39.071,37.097,113.689,65.183,65.067,64.807,195.057,110.914,36.914,0.000,147.828
@,04/05/18,00:01:00,228.3,228.6,228.7,395.6,395.9,395.8,49.98,49.98,49.98,1.269,1.037,1.154,0.000,0.000,0.000,0.173,0.000,0.111,0.284,0.000,0.000,0.000,0.000,0.293,0.239,0.268,0.800,-0.608,1.000,-0.411,0.356,2.2,12.0,357.7,1.2,0.3,49.836,48.612,49.386,147.834,-0.126,0.000,-0.009,-0.135,49.710,48.612,49.377,147.699,37.505,39.071,36.652,113.228,-0.016,0.000,-0.445,-0.461,37.521,39.071,37.097,113.689,65.188,65.071,64.812,195.071,110.914,36.920,0.000,147.834
@,04/05/18,00:02:00,228.1,228.3,228.5,395.2,395.5,395.5,49.94,49.94,49.94,1.234,1.058,1.168,0.000,0.000,0.000,0.173,0.000,0.115,0.289,0.000,0.000,0.000,0.000,0.280,0.239,0.264,0.783,-0.603,1.000,-0.410,0.368,0.2,12.1,359.3,1.2,0.3,49.839,48.614,49.388,147.841,-0.126,0.000,-0.009,-0.135,49.713,48.614,49.379,147.706,37.505,39.071,36.652,113.228,-0.016,0.000,-0.445,-0.461,37.521,39.071,37.097,113.689,65.193,65.075,64.816,195.084,110.914,36.927,0.000,147.841
@,04/05/18,00:03:00,228.4,228.6,228.8,395.8,395.9,395.9,49.97,49.97,49.97,1.244,1.093,1.187,0.000,0.000,0.000,0.173,0.000,0.111,0.284,0.000,0.000,0.000,0.000,0.289,0.247,0.272,0.808,-0.605,1.000,-0.415,0.352,6.4,5.5,3.5,1.2,0.3,49.841,48.615,49.390,147.846,-0.126,0.000,-0.009,-0.135,49.715,48.615,49.381,147.711,37.505,39.071,36.652,113.228,-0.016,0.000,-0.445,-0.461,37.521,39.071,37.097,113.689,65.198,65.079,64.821,195.098,110.914,36.932,0.000,147.846
@,04/05/18,00:04:00,228.0,228.2,228.3,395.0,395.4,395.1,49.94,49.95,49.95,12.036,12.233,11.807,0.000,0.000,0.000,2.082,2.032,2.020,6.135,1.762,1.881,1.758,5.401,2.742,2.783,2.692,8.217,0.759,0.731,0.749,0.747,39.7,42.6,39.5,12.0,6.1,49.864,48.637,49.411,147.912,-0.126,0.000,-0.009,-0.135,49.738,48.637,49.402,147.777,37.523,39.091,36.670,113.284,-0.016,0.000,-0.445,-0.461,37.539,39.091,37.115,113.745,65.228,65.110,64.850,195.188,110.914,36.998,0.000,147.912
@,04/05/18,00:05:00,227.9,228.1,228.2,394.9,395.0,395.0,49.96,49.96,49.96,12.208,12.392,12.018,0.000,0.000,0.000,2.140,2.103,2.087,6.330,1.758,1.882,1.754,5.394,2.779,2.829,2.738,8.346,0.769,0.743,0.764,0.758,38.3,41.8,39.3,12.2,6.3,49.899,48.671,49.445,148.015,-0.126,0.000,-0.009,-0.135,49.773,48.671,49.436,147.880,37.553,39.122,36.700,113.375,-0.016,0.000,-0.445,-0.461,37.569,39.122,37.145,113.836,65.273,65.156,64.895,195.324,110.914,37.101,0.000,148.015
@,04/05/18,00:06:00,227.8,228.0,228.2,394.7,394.9,394.7,49.98,49.98,49.98,12.305,12.555,12.111,0.000,0.000,0.000,2.173,2.140,2.115,6.429,1.750,1.877,1.754,5.381,2.800,2.858,2.759,8.416,0.776,0.750,0.766,0.764,38.0,41.5,39.3,12.3,6.4,49.935,48.706,49.480,148.121,-0.126,0.000,-0.009,-0.135,49.809,48.706,49.471,147.986,37.582,39.154,36.730,113.466,-0.016,0.000,-0.445,-0.461,37.598,39.154,37.175,113.927,65.320,65.204,64.941,195.465,110.914,37.207,0.000,148.121
@,04/05/18,00:07:00,228.5,228.7,228.8,395.7,396.1,396.0,50.02,50.02,50.03,12.328,12.558,12.131,0.000,0.000,0.000,2.181,2.148,2.124,6.453,1.762,1.890,1.766,5.418,2.812,2.870,2.775,8.457,0.775,0.747,0.767,0.763,38.5,41.1,38.7,12.3,6.5,49.971,48.742,49.516,148.229,-0.126,0.000,-0.009,-0.135,49.845,48.742,49.507,148.094,37.612,39.186,36.759,113.557,-0.016,0.000,-0.445,-0.461,37.628,39.186,37.204,114.018,65.367,65.252,64.987,195.606,110.914,37.315,0.000,148.229
@,04/05/18,00:08:00,225.3,225.5,225.7,390.4,390.5,390.7,50.02,50.02,50.02,12.208,12.446,12.025,0.000,0.000,0.000,2.165,2.136,2.111,6.412,1.672,1.799,1.680,5.150,2.746,2.804,2.713,8.264,0.789,0.761,0.779,0.776,39.0,39.6,36.6,12.2,6.4,50.007,48.778,49.551,148.336,-0.126,0.000,-0.009,-0.135,49.881,48.778,49.542,148.201,37.641,39.217,36.788,113.646,-0.016,0.000,-0.445,-0.461,37.657,39.217,37.233,114.107,65.413,65.299,65.033,195.745,110.914,37.422,0.000,148.336
@,04/05/18,00:09:00,225.7,225.9,226.0,390.9,391.3,391.3,50.01,50.02,50.02,12.272,12.518,12.086,0.000,0.000,0.000,2.185,2.156,2.127,6.469,1.676,1.803,1.683,5.162,2.766,2.820,2.725,8.312,0.790,0.762,0.780,0.778,37.0,40.2,36.8,12.3,6.5,50.044,48.814,49.586,148.444,-0.126,0.000,-0.009,-0.135,49.918,48.814,49.577,148.309,37.669,39.247,36.817,113.733,-0.016,0.000,-0.445,-0.461,37.685,39.247,37.262,114.194,65.459,65.346,65.078,195.883,110.914,37.530,0.000,148.444
