@,dd/mm/yy,hh:min:sec,V1(V),V2(V),V3(V),V12(V),V23(V),V31(V),FRQ1(Hz),FRQ2(Hz),FRQ3(Hz),I1(A),I2(A),I3(A),Isum(A),In(A),ILeak(A),P1(Kw),P2(Kw),P3(Kw),PT(Kw),Q1(Kvar),Q2(Kvar),Q3(Kvar),QT(Kvar),S1(Kva),S2(Kva),S3(Kva),ST(Kva),PF1,PF2,PF3,PFT,Angle1(Degree),Angle2(Degree),Angle3(Degree),%ILoad,%PLoad,EA1 Import (Kwh),EA2 Import (Kwh),EA3 Import(Kwh),EAT Import(Kwh),EA1 Export(Kwh),EA2 Export(Kwh),EA3 Export(Kwh),EAT Export(Kwh),EA1 Net(Kwh),EA2 Net(Kwh),EA3 Net(Kwh),EAT Net(Kwh),ER1 Ind(Kvarh),ER2 Ind(Kvarh),ER3 Ind(Kvarh),ERT Ind(Kvarh),ER1 Cap(Kvarh),ER2 Cap(Kvarh),ER3 Cap(Kvarh),ERT Cap(Kvarh),ER1 Net(Kvarh),ER2 Net(Kvarh),ER3 Net(Kvarh),ERT Net(Kvarh),EVA1 (Kvah),EVA2 (Kvah),EVA3 (Kvah),EVAT (Kvah),EON month(Kwh),EOFF month(Kwh),EHOL month(Kwh),EMonth(Kwh)
@,06/05/18,00:00:00,228.0,228.1,228.2,395.0,394.9,395.2,50.00,50.01,50.00,1.337,1.146,1.298,0.000,0.000,0.000,0.173,0.000,0.115,0.289,0.000,0.000,0.000,0.000,0.305,0.256,0.297,0.858,0.571,1.000,-0.391,0.337,0.4,18.8,347.0,1.3,0.3,117.409,113.762,115.526,346.697,-0.126,0.000,-0.009,-0.135,117.283,113.762,115.517,346.562,86.643,90.684,85.764,263.091,-0.016,0.000,-0.445,-0.461,86.659,90.684,86.209,263.552,151.662,151.376,150.925,453.963,175.296,67.403,103.998,346.697
@,06/05/18,00:01:00,228.3,228.6,228.7,395.7,395.7,395.9,50.05,50.05,50.05,1.311,1.065,1.298,0.000,0.000,0.000,0.173,0.000,0.115,0.289,0.000,0.000,0.000,0.000,0.293,0.243,0.293,0.829,0.589,1.000,-0.398,0.348,2.1,21.3,0.4,1.2,0.3,117.412,113.763,115.528,346.703,-0.126,0.000,-0.009,-0.135,117.286,113.763,115.519,346.568,86.643,90.684,85.764,263.091,-0.016,0.000,-0.445,-0.461,86.659,90.684,86.209,263.552,151.667,151.380,150.930,453.977,175.296,67.403,104.004,346.703
@,06/05/18,00:02:00,228.2,228.5,228.6,395.5,395.8,395.7,50.02,50.02,50.03,1.295,1.093,1.314,0.000,0.000,0.000,0.173,0.000,0.120,0.293,0.000,0.000,0.000,0.000,0.293,0.247,0.297,0.837,0.584,1.000,-0.398,0.350,11.7,341.2,0.6,1.2,0.3,117.415,113.765,115.530,346.710,-0.126,0.000,-0.009,-0.135,117.289,113.765,115.521,346.575,86.643,90.684,85.764,263.091,-0.016,0.000,-0.445,-0.461,86.659,90.684,86.209,263.552,151.672,151.384,150.935,453.991,175.296,67.403,104.011,346.710
@,06/05/18,00:03:00,228.4,228.7,228.9,395.9,396.2,396.1,50.00,50.00,50.00,1.284,1.074,1.304,0.000,0.000,0.000,0.173,0.000,0.120,0.293,0.000,0.000,0.000,0.000,0.297,0.247,0.305,0.849,0.575,1.000,-0.398,0.345,4.3,19.1,351.9,1.2,0.3,117.418,113.766,115.532,346.716,-0.126,0.000,-0.009,-0.135,117.292,113.766,115.523,346.581,86.643,90.684,85.764,263.091,-0.016,0.000,-0.445,-0.461,86.659,90.684,86.209,263.552,151.676,151.388,150.940,454.004,175.296,67.403,104.017,346.716
@,06/05/18,00:04:00,227.7,227.9,228.0,394.7,394.5,394.6,50.00,50.00,50.01,1.314,1.024,1.280,0.000,0.000,0.000,0.173,0.000,0.115,0.289,0.000,0.000,0.000,0.000,0.297,0.235,0.289,0.820,0.587,1.000,-0.396,0.352,1.3,359.4,359.3,1.2,0.3,117.421,113.768,115.534,346.723,-0.126,0.000,-0.009,-0.135,117.295,113.768,115.525,346.588,86.643,90.684,85.764,263.091,-0.016,0.000,-0.445,-0.461,86.659,90.684,86.209,263.552,151.681,151.392,150.945,454.018,175.296,67.403,104.024,346.723
@,06/05/18,00:05:00,228.7,229.1,229.1,396.3,396.8,396.5,49.94,49.95,49.94,1.270,0.992,1.315,0.000,0.000,0.000,0.173,0.000,0.128,0.301,0.000,0.000,0.000,0.000,0.289,0.223,0.301,0.812,0.599,1.000,-0.410,0.371,4.5,9.3,354.3,1.2,0.3,117.424,113.769,115.536,346.729,-0.126,0.000,-0.009,-0.135,117.298,113.769,115.527,346.594,86.643,90.684,85.764,263.091,-0.016,0.000,-0.445,-0.461,86.659,90.684,86.209,263.552,151.686,151.396,150.950,454.032,175.296,67.403,104.030,346.729
@,06/05/18,00:06:00,228.9,229.3,229.3,396.7,397.0,397.0,49.94,49.95,49.95,1.274,1.000,1.324,0.000,0.000,0.000,0.173,0.000,0.124,0.297,0.000,0.000,0.000,0.000,0.293,0.227,0.301,0.821,0.596,1.000,-0.424,0.362,1.5,347.8,333.4,1.2,0.3,117.427,113.770,115.538,346.735,-0.126,0.000,-0.009,-0.135,117.301,113.770,115.529,346.600,86.643,90.684,85.764,263.091,-0.016,0.000,-0.445,-0.461,86.659,90.684,86.209,263.552,151.691,151.400,150.955,454.046,175.296,67.403,104.036,346.735
@,06/05/18,00:07:00,229.4,229.8,229.8,397.7,397.9,397.7,49.93,49.93,49.93,1.268,1.019,1.294,0.000,0.000,0.000,0.173,0.000,0.123,0.296,0.000,0.000,0.000,0.000,0.292,0.234,0.296,0.822,0.595,1.000,-0.414,0.360,9.5,20.5,1.5,1.2,0.3,117.430,113.772,115.540,346.742,-0.126,0.000,-0.009,-0.135,117.304,113.772,115.531,346.607,86.643,90.684,85.764,263.091,-0.016,0.000,-0.445,-0.461,86.659,90.684,86.209,263.552,151.696,151.404,150.960,454.060,175.296,67.403,104.043,346.742
@,06/05/18,00:08:00,228.7,229.2,229.2,396.6,396.9,396.5,49.92,49.92,49.92,12.084,12.320,11.959,0.000,0.000,0.000,2.090,2.061,2.049,6.201,1.783,1.902,1.791,5.475,2.766,2.816,2.734,8.316,0.756,0.732,0.750,0.746,40.8,41.6,40.5,12.1,6.2,117.463,113.804,115.573,346.840,-0.126,0.000,-0.009,-0.135,117.337,113.804,115.564,346.705,86.672,90.714,85.792,263.178,-0.016,0.000,-0.445,-0.461,86.688,90.714,86.237,263.639,151.740,151.449,151.003,454.192,175.296,67.403,104.141,346.840
@,06/05/18,00:09:00,230.3,230.7,230.7,399.3,399.5,399.0,49.94,49.94,49.93,12.544,12.787,12.363,0.000,0.000,0.000,2.210,2.181,2.161,6.552,1.833,1.960,1.836,5.629,2.882,2.944,2.850,8.676,0.767,0.741,0.756,0.755,38.9,40.0,39.7,12.6,6.6,117.499,113.840,115.608,346.947,-0.126,0.000,-0.009,-0.135,117.373,113.840,115.599,346.812,86.702,90.746,85.823,263.271,-0.016,0.000,-0.445,-0.461,86.718,90.746,86.268,263.732,151.787,151.497,151.050,454.334,175.296,67.403,104.248,346.947
@,06/05/18,00:10:00,229.5,229.9,230.0,397.8,398.2,397.9,49.93,49.93,49.93,12.488,12.765,12.314,0.000,0.000,0.000,2.206,2.181,2.153,6.540,1.804,1.935,1.816,5.555,2.862,2.932,2.833,8.627,0.772,0.745,0.759,0.758,39.5,40.4,39.6,12.5,6.5,117.535,113.876,115.644,347.055,-0.126,0.000,-0.009,-0.135,117.409,113.876,115.635,346.920,86.733,90.779,85.854,263.366,-0.016,0.000,-0.445,-0.461,86.749,90.779,86.299,263.827,151.835,151.545,151.097,454.477,175.296,67.403,104.356,347.055
