@,dd/mm/yy,hh:min:sec,V1(V),V2(V),V3(V),V12(V),V23(V),V31(V),FRQ1(Hz),FRQ2(Hz),FRQ3(Hz),I1(A),I2(A),I3(A),Isum(A),In(A),ILeak(A),P1(Kw),P2(Kw),P3(Kw),PT(Kw),Q1(Kvar),Q2(Kvar),Q3(Kvar),QT(Kvar),S1(Kva),S2(Kva),S3(Kva),ST(Kva),PF1,PF2,PF3,PFT,Angle1(Degree),Angle2(Degree),Angle3(Degree),%ILoad,%PLoad,EA1 Import (Kwh),EA2 Import (Kwh),EA3 Import(Kwh),EAT Import(Kwh),EA1 Export(Kwh),EA2 Export(Kwh),EA3 Export(Kwh),EAT Export(Kwh),EA1 Net(Kwh),EA2 Net(Kwh),EA3 Net(Kwh),EAT Net(Kwh),ER1 Ind(Kvarh),ER2 Ind(Kvarh),ER3 Ind(Kvarh),ERT Ind(Kvarh),ER1 Cap(Kvarh),ER2 Cap(Kvarh),ER3 Cap(Kvarh),ERT Cap(Kvarh),ER1 Net(Kvarh),ER2 Net(Kvarh),ER3 Net(Kvarh),ERT Net(Kvarh),EVA1 (Kvah),EVA2 (Kvah),EVA3 (Kvah),EVAT (Kvah),EON month(Kwh),EOFF month(Kwh),EHOL month(Kwh),EMonth(Kwh)
@,12/06/18,00:00:00,226.6,226.6,226.8,392.5,392.4,392.8,50.06,50.06,50.06,12.745,12.742,12.405,0.000,0.000,0.000,2.275,2.226,2.219,6.720,1.748,1.819,1.699,5.266,2.886,2.886,2.807,8.579,0.790,0.773,0.789,0.783,37.6,37.5,36.7,12.6,6.7,14.959,14.075,14.372,43.406,0.000,0.000,0.000,0.000,14.959,14.075,14.372,43.406,9.963,10.274,9.791,30.028,0.000,0.000,0.000,0.000,9.963,10.274,9.791,30.028,19.217,18.841,18.943,57.001,39.076,4.330,0.000,43.406
@,12/06/18,00:01:00,226.3,226.3,226.5,392.1,391.9,392.2,49.98,49.98,49.98,12.758,12.742,12.408,0.000,0.000,0.000,2.280,2.222,2.214,6.716,1.750,1.819,1.696,5.265,2.886,2.882,2.804,8.571,0.792,0.770,0.790,0.784,37.0,38.2,36.5,12.6,6.7,14.997,14.112,14.409,43.518,0.000,0.000,0.000,0.000,14.997,14.112,14.409,43.518,9.992,10.305,9.820,30.117,0.000,0.000,0.000,0.000,9.992,10.305,9.820,30.117,19.265,18.890,18.990,57.145,39.076,4.442,0.000,43.518
@,12/06/18,00:02:00,226.1,226.1,226.3,391.6,391.5,391.8,50.04,50.04,50.04,1.299,1.085,1.277,0.000,0.000,0.000,0.186,0.107,0.136,0.429,0.000,0.000,0.000,0.000,0.289,0.243,0.285,0.816,0.635,-0.448,-0.485,0.525,9.6,19.3,18.5,1.2,0.4,15.034,14.148,14.445,43.627,0.000,0.000,0.000,0.000,15.034,14.148,14.445,43.627,10.021,10.334,9.848,30.203,0.000,0.000,0.000,0.000,10.021,10.334,9.848,30.203,19.312,18.936,19.035,57.283,39.076,4.551,0.000,43.627
@,12/06/18,00:03:00,226.1,226.1,226.3,391.6,391.5,392.1,50.04,50.03,50.03,1.386,1.155,1.407,0.000,0.000,0.000,0.181,0.103,0.136,0.421,0.000,0.000,0.000,0.000,0.309,0.256,0.313,0.878,-0.580,-0.414,-0.435,0.479,354.9,17.7,17.4,1.3,0.4,15.037,14.150,14.447,43.634,0.000,0.000,0.000,0.000,15.037,14.150,14.447,43.634,10.021,10.334,9.848,30.203,0.000,0.000,0.000,0.000,10.021,10.334,9.848,30.203,19.317,18.940,19.040,57.297,39.076,4.558,0.000,43.634
@,12/06/18,00:04:00,225.0,225.0,225.2,389.7,389.6,390.0,50.01,50.00,50.00,1.332,1.133,1.403,0.000,0.000,0.000,0.177,0.103,0.140,0.421,0.000,0.000,0.000,0.000,0.301,0.256,0.313,0.870,0.597,-0.407,-0.449,0.483,1.1,343.6,17.6,1.3,0.4,15.040,14.151,14.449,43.640,0.000,0.000,0.000,0.000,15.040,14.151,14.449,43.640,10.021,10.334,9.848,30.203,0.000,0.000,0.000,0.000,10.021,10.334,9.848,30.203,19.322,18.944,19.045,57.311,39.076,4.564,0.000,43.640
@,12/06/18,00:05:00,224.2,224.3,224.4,388.3,388.3,388.6,50.04,50.05,50.04,1.285,1.125,1.280,0.000,0.000,0.000,0.177,0.107,0.136,0.421,0.000,0.000,0.000,0.000,0.284,0.256,0.284,0.825,0.612,-0.421,-0.468,0.510,0.8,1.8,3.7,1.2,0.4,15.043,14.153,14.452,43.648,0.000,0.000,0.000,0.000,15.043,14.153,14.452,43.648,10.021,10.334,9.848,30.203,0.000,0.000,0.000,0.000,10.021,10.334,9.848,30.203,19.327,18.949,19.050,57.326,39.076,4.572,0.000,43.648
@,12/06/18,00:06:00,225.0,225.0,225.2,389.7,389.8,389.9,50.00,50.00,50.00,1.349,1.157,1.413,0.000,0.000,0.000,0.173,0.107,0.136,0.416,0.000,0.000,0.000,0.000,0.297,0.264,0.309,0.870,-0.588,-0.422,-0.431,0.479,5.2,338.3,340.2,1.3,0.4,15.045,14.155,14.454,43.654,0.000,0.000,0.000,0.000,15.045,14.155,14.454,43.654,10.021,10.334,9.848,30.203,0.000,0.000,0.000,0.000,10.021,10.334,9.848,30.203,19.332,18.953,19.056,57.341,39.076,4.578,0.000,43.654
@,12/06/18,00:07:00,225.6,225.6,225.8,390.7,390.6,391.1,50.05,50.05,50.04,1.393,1.112,1.465,0.000,0.000,0.000,0.177,0.107,0.140,0.425,0.000,0.000,0.000,0.000,0.313,0.251,0.326,0.891,-0.580,-0.415,-0.427,0.477,1.0,17.0,352.5,1.3,0.4,15.048,14.157,14.456,43.661,0.000,0.000,0.000,0.000,15.048,14.157,14.456,43.661,10.021,10.334,9.848,30.203,0.000,0.000,0.000,0.000,10.021,10.334,9.848,30.203,19.336,18.957,19.061,57.354,39.076,4.585,0.000,43.661
@,12/06/18,00:08:00,226.4,226.4,226.6,392.2,392.1,392.3,49.92,49.92,49.93,1.420,1.248,1.440,0.000,0.000,0.000,0.181,0.107,0.132,0.421,0.000,0.000,0.000,0.000,0.330,0.280,0.326,0.936,-0.543,-0.388,-0.401,0.449,352.7,4.9,355.9,1.4,0.4,15.051,14.158,14.459,43.668,0.000,0.000,0.000,0.000,15.051,14.158,14.459,43.668,10.021,10.334,9.848,30.203,0.000,0.000,0.000,0.000,10.021,10.334,9.848,30.203,19.342,18.962,19.066,57.370,39.076,4.592,0.000,43.668
@,12/06/18,00:09:00,227.0,227.0,227.2,393.1,393.0,393.5,49.98,49.99,49.98,1.432,1.285,1.456,0.000,0.000,0.000,0.186,0.111,0.128,0.425,0.000,0.000,0.000,0.000,0.330,0.293,0.330,0.952,-0.550,-0.371,-0.395,0.446,2.2,12.2,5.0,1.4,0.4,15.054,14.160,14.461,43.675,0.000,0.000,0.000,0.000,15.054,14.160,14.461,43.675,10.021,10.334,9.848,30.203,0.000,0.000,0.000,0.000,10.021,10.334,9.848,30.203,19.347,18.967,19.072,57.386,39.076,4.599,0.000,43.675
